TestNo,TestName
1,org.apache.commons.cli.OptionTest
2,org.apache.commons.cli.bug.BugCLI18Test
3,org.apache.commons.cli.UtilTest
4,org.apache.commons.cli.TestHelpFormatter
5,org.apache.commons.cli.bug.BugCLI13Test
6,org.apache.commons.cli.OptionsTest
7,org.apache.commons.cli.bug.BugCLI133Test
8,org.apache.commons.cli.bug.BugCLI51Test
9,org.apache.commons.cli.BuildTest
10,org.apache.commons.cli.OptionBuilderTest
11,org.apache.commons.cli.ParseRequiredTest
12,org.apache.commons.cli.ArgumentIsOptionTest
13,org.apache.commons.cli.bug.BugCLI71Test
14,org.apache.commons.cli.PatternOptionBuilderTest
15,org.apache.commons.cli.GnuParseTest
16,org.apache.commons.cli.OptionGroupTest
17,org.apache.commons.cli.ParseTest
18,org.apache.commons.cli.ValuesTest
19,org.apache.commons.cli.ValueTest
20,org.apache.commons.cli.ApplicationTest
21,org.apache.commons.cli.BugsTest
