TestNo,TestName
1,org.apache.commons.compress.DetectCompressorTestCase
2,org.apache.commons.compress.archivers.memory.MemoryArchiveTestCase
3,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest
4,org.apache.commons.compress.compressors.BZip2UtilsTestCase
5,org.apache.commons.compress.compressors.GzipUtilsTestCase
6,org.apache.commons.compress.archivers.zip.AsiExtraFieldTest
7,org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest
8,org.apache.commons.compress.archivers.zip.ZipUtilTest
9,org.apache.commons.compress.archivers.tar.TarUtilsTest
10,org.apache.commons.compress.archivers.zip.ZipLongTest
11,org.apache.commons.compress.archivers.zip.ZipShortTest
12,org.apache.commons.compress.compressors.GZipTestCase
13,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest
14,org.apache.commons.compress.archivers.zip.TestZipEncodings
15,org.apache.commons.compress.archivers.ArTestCase
16,org.apache.commons.compress.DetectArchiverTestCase
17,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest
18,org.apache.commons.compress.archivers.CpioTestCase
19,org.apache.commons.compress.archivers.TarTestCase
20,org.apache.commons.compress.archivers.JarTestCase
21,org.apache.commons.compress.compressors.BZip2TestCase
22,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest
23,org.apache.commons.compress.archivers.ArchiveOutputStreamTest
24,org.apache.commons.compress.archivers.ZipTestCase
25,org.apache.commons.compress.ArchiveUtilsTest
26,org.apache.commons.compress.IOMethodsTest
27,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest
28,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest
29,org.apache.commons.compress.changes.ChangeSetTestCase
