TestNo,TestName
1,org.apache.commons.codec.net.RFC1522CodecTest
2,org.apache.commons.codec.net.UtilsTest
3,org.apache.commons.codec.DecoderExceptionTest
4,org.apache.commons.codec.EncoderExceptionTest
5,org.apache.commons.codec.CharEncodingTest
6,org.apache.commons.codec.StringEncoderComparatorTest
7,org.apache.commons.codec.binary.BaseNCodecTest
8,org.apache.commons.codec.binary.Base32Test
9,org.apache.commons.codec.language.RefinedSoundexTest
10,org.apache.commons.codec.net.BCodecTest
11,org.apache.commons.codec.binary.Base64Codec13Test
12,org.apache.commons.codec.binary.BinaryCodecTest
13,org.apache.commons.codec.binary.StringUtilsTest
14,org.apache.commons.codec.language.ColognePhoneticTest
15,org.apache.commons.codec.net.QCodecTest
16,org.apache.commons.codec.net.QuotedPrintableCodecTest
17,org.apache.commons.codec.net.URLCodecTest
18,org.apache.commons.codec.language.DoubleMetaphone2Test
19,org.apache.commons.codec.language.SoundexTest
20,org.apache.commons.codec.language.DoubleMetaphoneTest
21,org.apache.commons.codec.language.CaverphoneTest
22,org.apache.commons.codec.language.MetaphoneTest
23,org.apache.commons.codec.binary.Base64Test
24,org.apache.commons.codec.binary.Base32OutputStreamTest
25,org.apache.commons.codec.binary.Base64OutputStreamTest
26,org.apache.commons.codec.binary.Base32InputStreamTest
27,org.apache.commons.codec.binary.Base64InputStreamTest
28,org.apache.commons.codec.binary.HexTest
29,org.apache.commons.codec.digest.DigestUtilsTest
