TestNo,TestName
1,org.apache.commons.compress.DetectCompressorTestCase
2,org.apache.commons.compress.archivers.memory.MemoryArchiveTestCase
3,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest
4,org.apache.commons.compress.archivers.zip.ZipUtilTest
5,org.apache.commons.compress.archivers.zip.AsiExtraFieldTest
6,org.apache.commons.compress.archivers.zip.ZipLongTest
7,org.apache.commons.compress.archivers.zip.ZipShortTest
8,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest
9,org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest
10,org.apache.commons.compress.archivers.CpioTestCase
11,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest
12,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest
13,org.apache.commons.compress.archivers.zip.TestZipEncodings
14,org.apache.commons.compress.archivers.TarTestCase
15,org.apache.commons.compress.archivers.ZipTestCase
16,org.apache.commons.compress.compressors.GZipTestCase
17,org.apache.commons.compress.archivers.ArTestCase
18,org.apache.commons.compress.archivers.JarTestCase
19,org.apache.commons.compress.compressors.BZip2TestCase
20,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest
21,org.apache.commons.compress.changes.ChangeSetTestCase
22,org.apache.commons.compress.DetectArchiverTestCase
