TestNo,TestName
1,org.apache.commons.compress.DetectCompressorTestCase
2,org.apache.commons.compress.archivers.memory.MemoryArchiveTestCase
3,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest
4,org.apache.commons.compress.compressors.GzipUtilsTestCase
5,org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest
6,org.apache.commons.compress.archivers.zip.ZipUtilTest
7,org.apache.commons.compress.archivers.zip.ZipLongTest
8,org.apache.commons.compress.archivers.zip.ZipShortTest
9,org.apache.commons.compress.archivers.tar.TarUtilsTest
10,org.apache.commons.compress.archivers.zip.AsiExtraFieldTest
11,org.apache.commons.compress.archivers.CpioTestCase
12,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest
13,org.apache.commons.compress.compressors.GZipTestCase
14,org.apache.commons.compress.archivers.ArTestCase
15,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest
16,org.apache.commons.compress.archivers.zip.TestZipEncodings
17,org.apache.commons.compress.archivers.ZipTestCase
18,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest
19,org.apache.commons.compress.archivers.JarTestCase
20,org.apache.commons.compress.archivers.TarTestCase
21,org.apache.commons.compress.compressors.BZip2TestCase
22,org.apache.commons.compress.DetectArchiverTestCase
23,org.apache.commons.compress.archivers.ArchiveOutputStreamTest
24,org.apache.commons.compress.ArchiveUtilsTest
25,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest
26,org.apache.commons.compress.IOMethodsTest
27,org.apache.commons.compress.changes.ChangeSetTestCase
