TestNo,TestName
1,org.apache.commons.codec.net.UtilsTest
2,org.apache.commons.codec.net.RFC1522CodecTest
3,org.apache.commons.codec.DecoderExceptionTest
4,org.apache.commons.codec.EncoderExceptionTest
5,org.apache.commons.codec.CharEncodingTest
6,org.apache.commons.codec.StringEncoderComparatorTest
7,org.apache.commons.codec.language.ColognePhoneticTest
8,org.apache.commons.codec.language.RefinedSoundexTest
9,org.apache.commons.codec.binary.BinaryCodecTest
10,org.apache.commons.codec.binary.StringUtilsTest
11,org.apache.commons.codec.net.BCodecTest
12,org.apache.commons.codec.net.QCodecTest
13,org.apache.commons.codec.net.URLCodecTest
14,org.apache.commons.codec.net.QuotedPrintableCodecTest
15,org.apache.commons.codec.binary.Base64Codec13Test
16,org.apache.commons.codec.language.CaverphoneTest
17,org.apache.commons.codec.language.DoubleMetaphone2Test
18,org.apache.commons.codec.language.SoundexTest
19,org.apache.commons.codec.language.DoubleMetaphoneTest
20,org.apache.commons.codec.binary.Base64Test
21,org.apache.commons.codec.language.MetaphoneTest
22,org.apache.commons.codec.binary.HexTest
23,org.apache.commons.codec.binary.Base64InputStreamTest
24,org.apache.commons.codec.binary.Base64OutputStreamTest
25,org.apache.commons.codec.digest.DigestUtilsTest
