TestNo,TestName
1,org.apache.commons.codec.net.UtilsTest
2,org.apache.commons.codec.digest.B64Test
3,org.apache.commons.codec.EncoderExceptionTest
4,org.apache.commons.codec.net.RFC1522CodecTest
5,org.apache.commons.codec.DecoderExceptionTest
6,org.apache.commons.codec.digest.Sha2CryptTest
7,org.apache.commons.codec.CharEncodingTest
8,org.apache.commons.codec.language.bm.RuleTest
9,org.apache.commons.codec.CharsetsTest
10,org.apache.commons.codec.language.RefinedSoundexTest
11,org.apache.commons.codec.binary.BaseNCodecTest
12,org.apache.commons.codec.digest.UnixCryptTest
13,org.apache.commons.codec.binary.Base32Test
14,org.apache.commons.codec.binary.BinaryCodecTest
15,org.apache.commons.codec.language.ColognePhoneticTest
16,org.apache.commons.codec.net.BCodecTest
17,org.apache.commons.codec.language.Caverphone1Test
18,org.apache.commons.codec.net.QCodecTest
19,org.apache.commons.codec.binary.Base64Codec13Test
20,org.apache.commons.codec.binary.StringUtilsTest
21,org.apache.commons.codec.language.bm.LanguageGuessingTest
22,org.apache.commons.codec.net.QuotedPrintableCodecTest
23,org.apache.commons.codec.language.NysiisTest
24,org.apache.commons.codec.net.URLCodecTest
25,org.apache.commons.codec.StringEncoderComparatorTest
26,org.apache.commons.codec.language.SoundexTest
27,org.apache.commons.codec.digest.Md5CryptTest
28,org.apache.commons.codec.language.DoubleMetaphone2Test
29,org.apache.commons.codec.language.Caverphone2Test
30,org.apache.commons.codec.binary.Base64Test
31,org.apache.commons.codec.digest.Apr1CryptTest
32,org.apache.commons.codec.language.MetaphoneTest
33,org.apache.commons.codec.language.DoubleMetaphoneTest
34,org.apache.commons.codec.digest.CryptTest
35,org.apache.commons.codec.language.MatchRatingApproachEncoderTest
36,org.apache.commons.codec.binary.Base32OutputStreamTest
37,org.apache.commons.codec.digest.Sha512CryptTest
38,org.apache.commons.codec.binary.HexTest
39,org.apache.commons.codec.binary.Base32InputStreamTest
40,org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest
41,org.apache.commons.codec.digest.Sha256CryptTest
42,org.apache.commons.codec.binary.Base64InputStreamTest
43,org.apache.commons.codec.binary.Base64OutputStreamTest
44,org.apache.commons.codec.digest.DigestUtilsTest
45,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest
