TestNo,TestName
1,org.apache.commons.cli.OptionsTest
2,org.apache.commons.cli.bug.BugCLI18Test
3,org.apache.commons.cli.BuildTest
4,org.apache.commons.cli.ParseRequiredTest
5,org.apache.commons.cli.TestHelpFormatter
6,org.apache.commons.cli.OptionBuilderTest
7,org.apache.commons.cli.bug.BugCLI13Test
8,org.apache.commons.cli.bug.BugCLI51Test
9,org.apache.commons.cli.ArgumentIsOptionTest
10,org.apache.commons.cli.GnuParseTest
11,org.apache.commons.cli.ValuesTest
12,org.apache.commons.cli.ParseTest
13,org.apache.commons.cli.PatternOptionBuilderTest
14,org.apache.commons.cli.OptionGroupTest
15,org.apache.commons.cli.ValueTest
16,org.apache.commons.cli.BugsTest
17,org.apache.commons.cli.ApplicationTest
