TestNo,TestName
1,org.apache.commons.compress.DetectCompressorTestCase
2,org.apache.commons.compress.archivers.memory.MemoryArchiveTestCase
3,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest
4,org.apache.commons.compress.archivers.zip.ZipUtilTest
5,org.apache.commons.compress.compressors.BZip2UtilsTestCase
6,org.apache.commons.compress.compressors.GzipUtilsTestCase
7,org.apache.commons.compress.archivers.zip.AsiExtraFieldTest
8,org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest
9,org.apache.commons.compress.archivers.zip.ZipLongTest
10,org.apache.commons.compress.archivers.zip.ZipShortTest
11,org.apache.commons.compress.archivers.tar.TarUtilsTest
12,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest
13,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest
14,org.apache.commons.compress.archivers.zip.TestZipEncodings
15,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest
16,org.apache.commons.compress.archivers.TarTestCase
17,org.apache.commons.compress.archivers.CpioTestCase
18,org.apache.commons.compress.archivers.ArTestCase
19,org.apache.commons.compress.compressors.GZipTestCase
20,org.apache.commons.compress.archivers.ArchiveOutputStreamTest
21,org.apache.commons.compress.archivers.ZipTestCase
22,org.apache.commons.compress.compressors.BZip2TestCase
23,org.apache.commons.compress.ArchiveUtilsTest
24,org.apache.commons.compress.DetectArchiverTestCase
25,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest
26,org.apache.commons.compress.archivers.JarTestCase
27,org.apache.commons.compress.IOMethodsTest
28,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest
29,org.apache.commons.compress.changes.ChangeSetTestCase
